"Sr.no"	"Brand"	"Model"	"Name"	"Price"	"Item"	"Weight"	"(kg)"	"Color"	"Options"	"Wheels"	"Energy"	"Consumption"	"(Kwh/yr)"	"Load"	"Weight"	"Height"	"Width"	"Gross"	"Weight"	"Type"	"Product"	"Warranty"	"Motor"	"Warranty"	"Child"	"Lock"	"Noise"	"Level"	"(washing)"	"dB"	"Noise"	"Level"	"(spinning)"	"dB"	"Max"	"Spin"	"Speed"	"(rpm)"	"Water"	"Consumption"	"(KWh/yr)"	"Water"	"Consumption"	"(Liters)"	"Loading"	"Type"
1	"Haier"	"HWM58-020"	10390	"64,14"	"White"		438	"5,8"	"88,2"	50	32	"Fully"	"Automatic"	2	5	"Yes"	53	70	1000	18250	0	"Top"																								
2	"Bosch"	"WAK24168IN"	30837	"158,73"	"Silver"		"361,35"	7	85	60	0	"Fully"	"Automatic"	2	10	"Yes"	55	67	1200	0	47	"Front"																								
3	"LG"	"T72CMG22P"	19190	"77,16"	"Marine Blue, Cool Grey"		"??"	"6,2"	85	54	0	"Fully"	"Automatic"	2	0	"Yes"	"??"	"??"	800	0	0	"Top"																								
