Sr.no,Brand,Model Name,Price,Item Weight (kg),Color Options,Wheels,Energy Consumption (Kwh/yr),Load Weight,Height,Width,Gross Weight,Type,Product Warranty,Motor Warranty,Child Lock,Noise Level (washing) dB,Noise Level (spinning) dB,Max Spin Speed (rpm),Water Consumption (KWh/yr),Water Consumption (Liters),Loading Type
224,Electrolux,ET70ENPRM,15800,,Maroon,,,7,0,0,0,Fully Automatic,2,0,Yes,,,0,0,0,Top
225,Haier,XPB82-187S,12990,,Aqua Blue,,,"8,2",0,0,0,semi automatic,5,0,Yes,,,800,0,0,Top
226,Godrej,WS 800 PDS,14348,,Lilac Sprinkle,,,8,0,0,0,semi automatic,2,5,No,,,0,0,0,Top
227,Whirlpool,AG POWER WASH 7212SD-BLACK,23100,,Black,,,"7,2",0,0,0,Fully Automatic,2,2,Yes,,,740,0,0,Top
228,Godrej,WS Edge Pro 750CS,13099,,Wine Red,,,"7,5",0,0,0,semi automatic,2,5,No,,,0,0,0,Top
229,LG,P8237R3S,12690,,Mauve,,,"7,2","97,5","80,5",0,semi automatic,2,0,No,,,740,0,0,Top
230,Samsung,WW12H8420EX/TL,73197,,Inox Grey,,,12,"88,4","66,6",78,Fully Automatic,2,0,Yes,,,1400,0,0,Front
231,Samsung,WD12J8420GX,105140,,Inox Body,,,12,0,0,0,Fully Automatic,2,10,No,,,0,0,0,Front
232,Electrolux,ET62ESPRM,13000,,Mystic Rose,,,"6,2",0,0,0,Fully Automatic,2,0,Yes,,,0,0,0,Top
233,LG,FH0B8WDL24,37580,,Silver,,,"6,5",0,0,0,Fully Automatic,2,10,Yes,,,1000,0,0,Front
234,Godrej,SAWM GWS-6502 PPC,12277,,Corel Pink,Yes,,"6,5",0,0,0,semi automatic,2,5,No,,,800,0,0,Top
235,Videocon,VS73J22 Quanta+,9490,,Dark maroon,,,"7,3",0,0,0,semi automatic,1,0,No,,,0,0,0,Top
236,Kelvinator,KS60VAGL-DNB,7699,,Grey Light,,,6,0,0,0,semi automatic,1,2,No,,,1320,0,0,Top
237,Whirlpool,Classic 622PD,14173,28,DUET GREY,,,"6,2",0,0,0,Fully Automatic,2,0,Yes,,,0,0,0,Top
238,LG,WF-T7519PR,21590,,Mystic Red and Free Silver,,,"6,5",89,54,0,Fully Automatic,2,0,Yes,,,0,0,0,Top
239,Godrej,GWS6801PPL,11700,,White & Blue,Yes,,"6,8","94,5","74,6",0,semi automatic,2,0,No,,,0,0,0,Top
240,Electrolux,Euro Glitz Plus,9299,25,Luminous Orange,,,"6,8",94,77,25,semi automatic,2,0,No,,,1000,0,0,Top
241,Haier,HWM70-918NZP,16999,,Grey,,,7,0,0,0,Fully Automatic,5,0,No,,,1200,0,430,Top
242,LG,T7001TDDLC,14290,,Grey and Slate,,,6,85,54,0,Fully Automatic,2,0,No,,,0,0,0,Top
243,LG,T9003TEELK,29150,,Black Knight,,,8,96,59,0,Fully Automatic,2,0,Yes,,,710,0,0,Top
244,Whirlpool,Ace 7.2 Royale,13050,19,Peppy Purple,Yes,,"7,2","95,6","50,7",0,semi automatic,2,0,No,,,1400,0,0,Top
245,Samsung,WA90J5710SG,28830,,Silver,,,9,0,0,0,Fully Automatic,3,10,No,,,0,0,0,Top
246,IFB,AW60-205T,17500,36,White & Blue,,,6,97,57,36,Fully Automatic,2,0,No,,,800,0,0,Top
247,Videocon,WM VT80C41-CBL,21550,,Choco Brown,,,8,0,0,0,Fully Automatic,10,0,No,,,0,0,0,Top
248,Panasonic,NA-F70B5HRB,18987,,Grey,,,"6,5",0,0,0,Fully Automatic,10,0,No,,,740,0,0,Top
249,Godrej,WS Edge 720 CT,12950,,Excel Grey,,,"7,2",0,0,0,semi automatic,2,5,No,,,0,0,0,Top
250,LG,T80FRF21P,24590,,Free Silver,,,7,89,54,0,Fully Automatic,2,0,Yes,,,800,0,0,Top
251,LG,T9003TEELR,28540,,Free Silver,,,8,96,59,,Fully Automatic,2,0,Yes,,,800,0,0,Top
252,LG,F80E3NDL2,30790,,White,,,6,0,0,0,Fully Automatic,0,0,No,,,800,0,0,Front
253,Videocon,VS72H12 Gracia Plus,9800,,Breeze Blue,,,"7,2",0,0,0,semi automatic,1,0,No,,,0,0,0,Top
254,LG,T8067TEEL3,24699,,Silver,,,7,0,0,0,Fully Automatic,0,0,No,,,710,0,0,Top
255,LG,T7508TEDLH,21490,,Silver,,,"6,5",0,0,0,Fully Automatic,0,0,No,,,710,0,0,Top
256,Haier,XPB62-187P,8999,,Pink,,,"6,2",0,0,0,semi automatic,5,0,No,,,0,0,0,Top
257,Bosch,WAT24167IN,38400,,Silver,,,"7,5",0,0,0,Fully Automatic,2,10,No,,,1200,0,60,Front
258,Videocon,WM VT75C45-LGY,22055,,,,,"7,5",0,0,0,Fully Automatic,10,0,Yes,,,0,0,0,Top
259,Samsung,WT62H2510HP,10400,,Grey,Yes,,"6,2",0,0,0,semi automatic,2,0,No,,,0,0,0,Top
260,Bosch ,WAK20167IN ,28 499,,Silver,,,"6,5",0,0,0,Fully Automatic,2,10,No,,,0,0,0,Front
261,LG ,FH0B8QDL25 ,35 300,,Luxury Silver,,,7,85,60,0,Fully Automatic,10,0,No,,,1000,0,0,Front
262,Panasonic ,NA-W70B2HRB,11 390,,Grey,,,7,0,0,0,semi automatic,2,0,No,,,720,0,0,Top
263,Samsung ,WA82E5XEC and TL,14 917,,Light Grey Body and Light Savoy Blue Top,,,"6,2",0,0,0,Fully Automatic,0,0,No,,,680,0,0,Top
264,Kelvinator ,KS7253DM ,10 450,,Marron,Yes,,"7,2","97,5",79,0,semi automatic,2,2,No,,,700,0,0,Top
265,Midea ,MWMTL065MWO ,15 990,,Grey,,,"6,5",92,"51,5",0,Fully Automatic,5,0,Yes,62,72,700,0,0,Top
266,Lloyd,LWMS78L,10 500,,White,,,"7,8",0,0,0,semi automatic,0,0,No,,,0,0,0,Top
267,Midea ,MWMSA065M02 ,7 490,,White and Grey,,,"6,5",0,0,0,semi automatic,2,0,No,62,72,1000,0,0,Top
268,LG ,T70CPD22P ,16 890,,Cool Grey,,,6,85,54,0,Fully Automatic,2,0,Yes,,,0,0,0,Top
269,Bosch ,WAE 20060IN,30 500,65,White,,,7,"84,5",60,0,Fully Automatic,2,0,No,56,73,1000,0,0,Front
270,Samsung ,WA65H4020HL ,22 600,,Lily Pattern Blue,,,"6,5",0,0,0,Fully Automatic,2,0,No,,,0,0,0,Top
271,LG ,FH8B8NDL22 ,26 480,,Blue White,,,6,85,60,0,Fully Automatic,10,0,No,,,800,0,0,Front
272,Samsung ,WA65K4400HA/TL,23 900,,Inox,,,"6,5",0,0,0,Fully Automatic,3,10,No,,,0,0,0,Top
273,Panasonic ,NA-W70B2RRB,11 490,,Maroon,,,7,96,78,0,semi automatic,2,0,No,,,0,0,0,Top
274,Kelvinator ,KS7315DM ,10 690,,Dark maroon,,,"7,3",0,0,0,Fully Automatic,1,0,No,,,0,0,0,Top
275,LG ,FH0B8EDL21 ,35 630,,Blue White,,,"7,5",85,60,0,Fully Automatic,10,0,No,,,1000,0,0,Front
276,LG ,FH4U1JBHK6N ,83 690,,Stainless Silver,,,"10,5",0,0,0,Fully Automatic,10,0,No,,,1400,0,0,Front
277,Videocon ,WM VS75Z20-LBA,10 295,,Luminous Blue,,,"7,5",0,0,0,semi automatic,1,0,No,,,0,0,0,Top
278,Videocon ,WM VS80P21-DMK,11 795,,Dark maroon,,,8,0,0,0,semi automatic,1,0,No,,,0,0,0,Top
279,Samsung ,WA75K4020HL/TL,27 500,,Tender Blue,,,"7,5",0,0,0,Fully Automatic,3,10,No,,,0,0,0,Top
280,Samsung ,WA75K4400HA/TL,28 290,,Inox,,,"7,5",0,0,0,Fully Automatic,3,10,No,,,0,0,0,Top
281,Samsung ,WA70K4020HL/TL,25 300,,Tender Blue,,,7,0,0,0,Fully Automatic,3,10,No,,,0,0,0,Top
282,Lloyd ,LWMS65LT ,9 490,,Red,,,"6,5",0,0,0,semi automatic,0,0,No,,,1320,0,0,Top
283,Samsung ,WA70H4020HP/TL,29 990,,Lily Pattern Red,,,7,0,0,0,Fully Automatic,10,0,No,,,650,0,0,Top
284,Videocon ,VT70C40 ,18 700,,Choco Brown,,,7,0,0,0,Fully Automatic,1,10,Yes,,,0,0,0,Front
285,LG ,T7248TDDLL ,19 990,,Cool Grey,,,"6,2",85,54,0,Fully Automatic,2,0,No,,,0,0,0,Top
286,Samsung ,WA65K4000HA ,20 550,31,Sparkling Black,,,"6,5","98,2",54,0,Fully Automatic,3,10,Yes,,,0,0,0,Top
287,Bosch ,WAB16260IN ,29 900,65,White,,,6,85,60,0,Fully Automatic,2,0,No,59,73,800,0,55,Front
288,Godrej ,GB58615 ,11 648,,Wine Red,,,7,"97,5",82,0,semi automatic,2,0,No,,,0,0,0,Top
289,Siemens ,WM12S460IN ,63 300,,White,,,8,85,60,0,Fully Automatic,2,0,Yes,50,67,1200,0,0,Front
290,Samsung ,WA75K4020HP/TL,27 700,,Scarlet Red,,,"7,5",0,0,0,Fully Automatic,3,10,No,,,0,0,0,Top
