Sr.no,Brand,Model Name,Price,Item Weight (kg),Color Options,Wheels,Energy Consumption (Kwh/yr),Load Weight,Height,Width,Gross Weight,Type,Product Warranty,Motor Warranty,Child Lock,Noise Level (washing) dB,Noise Level (spinning) dB,Max Spin Speed (rpm),Water Consumption (KWh/yr),Water Consumption (Liters),Loading Type
50,Whirlpool ,Ace 7.0 Super Soak,10950,30,Coral Purple,Yes,,7,"95,6","48,5",0,semi automatic,2,0,No,,,1450,0,0,Top
51,LG ,FH0B8NDL25 ,30190,,Luxury Silver,,,6,0,0,0,Fully Automatic,1,0,Yes,,,1000,0,0,Front
52,Whirlpool ,Superb Atom 60I,8900,21,Tulip Pink,Yes,,6,"90,5","79,3",0,semi automatic,2,0,No,,,1400,0,0,Top
53,Whirlpool ,6212SD Whitemagic Royale,16700,,Grey Chrome,,,"6,2",0,0,0,Fully Automatic,2,10,Yes,,,740,0,0,Top
54,Godrej,WS 800 PD,13169,,Rose Sprinkle,No,,8,90,86,0,semi automatic,2,5,No,,,650,0,0,Top
55,LG ,T7567TEELH ,20550,,Middle Free Silver,,,"6,5",89,54,0,Fully Automatic,2,0,Yes,,,710,0,0,Top
56,LG ,T7567TEEL3 ,21000,,Dark Red,,,"6,5",89,54,0,Fully Automatic,1,0,Yes,,,710,0,0,Top
57,Videocon ,VS60B11 Typhoon Plus,8485,,Dark maroon,,,6,89,78,0,semi automatic,1,0,No,,,710,0,0,Top
58,LG ,FH296HDL24 ,36600,,Luxury Silver,,,7,0,0,0,Fully Automatic,0,10,Yes,,,1200,0,0,Front
59,Whirlpool ,SW Ultra UL 65H,22320,,Pearl Wine,,,"6,5",0,0,0,Fully Automatic,2,10,Yes,,,740,0,0,Top
60,Godrej ,GWS 6502 PPC ,10999,,Red,,,"6,5",96,73,0,semi automatic,2,0,No,,,800,0,0,Top
61,Intex ,WM65 ,4499,,White & Maroon,,,"6,5",84,48,15,semi automatic,0,0,No,60,60,0,0,0,Top
62,Haier,XPB 72-713S,9797,35,White,,621,"7,2","47,5","78,6",35,semi automatic,4,0,No,53,70,740,0,621,Top
63,Haier ,HTW80-185VA,10624,,Grey,,,"7,8",0,0,0,semi automatic,2,0,No,,,0,0,0,Top
64,LG ,T8067TEELR ,25290,,Free Silver,No,,7,89,54,0,Fully Automatic,2,0,Yes,,,0,0,0,Top
65,Whirlpool ,Classic 622SD ,17800,,Wine Chrome,,,"6,2",0,0,0,Fully Automatic,2,0,Yes,,,0,0,0,Top
66,Onida ,68SSC,9999,23,Lava Red,No,,"6,8","98,4","78,2",23,semi automatic,2,0,No,,,1480,0,0,Top
67,Intex ,WMA62,11800,24,Light Grey & Sky Blue,,,6,87,"50,5",28,Fully Automatic,2,0,Yes,,,0,0,0,Top
68,LG ,F12B8EDP21 ,40990,,Blue White,,,"7,5",0,0,0,Fully Automatic,0,0,Yes,,,1200,0,0,Front
69,Electrolux ,Euro Glitz,8899,21,Luminous Pink,,,"6,7",94,77,25,semi automatic,2,2,No,,,1000,0,0,Top
70,Samsung ,WA62H4200HB,18590,31,Light Grey ,,??,"6,2","98,2",54,37,Fully Automatic,2,0,Yes,??,??,700,0,0,Top
71,Intex ,WM75ST ,4900,,White & Maroon,,,"7,5",96,"51,5",15,semi automatic,2,0,No,60,60,0,0,0,Top
72,Samsung ,WA80E5XEC ,14390,,White,,,6,0,0,0,Fully Automatic,2,0,No,,,680,0,0,Top
73,Whirlpool ,ACE 8.0 Supersoak,12599,,Blue ,No,,8,"50,7","95,6",0,semi automatic,2,0,No,,,1450,0,0,Top
74,Electrolux ,ET70ENERM ,15685,,Mystic Rose,,,7,0,0,0,Fully Automatic,2,0,Yes,,,850,0,0,Top
75,IFB ,Senorita Smart,35490,71,White,,"339,45","6,5",88,"67,5",71,Fully Automatic,4,0,No,??,??,1000,0,43,Front
76,Sansui,WM SS60AS-CMA,7090,24,Maroon,Yes,,6,91,82,0,semi automatic,2,0,No,60,60,1400,0,0,Top
77,Onida,WO60TSPLN1,12199,,Grey,,,"5,8",90,52,0,Fully Automatic,2,0,No,,,780,0,0,Top
78,Videocon,VS72H12,10099,,Dark maroon,,,"7,2",0,0,0,semi automatic,1,0,No,,,740,0,0,Top
79,Samsung,WT657QPNDPG,12100,29,White & Maroon,Yes,,"6,5",99,"85,5",29,semi automatic,0,0,No,,,0,0,0,Top
80,LG,F1496TDP24,47390,,Luxury Silver,,,8,85,60,0,Fully Automatic,2,0,No,,,1400,0,0,Front
81,Whirlpool, Clean 62-Grey 10YMW,17690,,Grey,,,"6,2",0,0,0,Fully Automatic,2,10,Yes,,,0,0,0,Top
82,Whirlpool,ATOM62S,9027,,Ruby,,,"6,2",0,0,0,semi automatic,2,2,No,,,1400,0,0,Top
83,Bosch,WAK20165IN,29899,76,White,No,,"6,5",85,60,76,Fully Automatic,2,10,No,,,1000,0,0,Front
84,LG,P9562R3S,13900,,Dark Grey,,,"8,5",0,0,0,semi automatic,2,0,No,,,740,0,0,Top
85,Bosch,WAT24165IN,37795,,White,,,"7,5","84,8","63,2",77,Fully Automatic,2,10,No,,,1200,0,60,Front
86,Whirlpool,360 WRD SR WS 80H,28429,,Graphite,,,8,0,0,0,Fully Automatic,2,10,Yes,,,740,0,0,Top
87,Samsung,WA65K4020HP/TL,22700,31,Scarlet Red,,,"6,5","98,2",54,0,Fully Automatic,3,10,Yes,,,0,0,0,Top
88,Panasonic,NA-W80H2ARB,13640,30,Blue & Red,No,,8,97,82,0,semi automatic,2,0,No,,,1300,0,0,Top
89,Samsung,WA60H4100HY/TL,14290,"30,5",Light Grey ,,,6,"98,8","57,2",34,Fully Automatic,2,0,Yes,,,650,0,0,Top
90,DMR,46-1298S,6499,,Blue ,,,"4,6",74,66,0,semi automatic,1,0,No,,,240,0,0,Top
91,Sansui,SS72FR-SA,8450,"28,5",Dark maroon,,,"7,2",102,81,0,semi automatic,2,0,No,,,1300,0,0,Top
92,Haier,HSW72-588A,20690,,Silver Grey,,,"7,2",54,52,0,Fully Automatic,2,8,Yes,,,0,54,0,Top
93,Godrej,GWS7002PPC,11990,,Red,No,,7,96,"80,5",0,semi automatic,2,0,No,,,740,0,0,Top
94,Electrolux,ET65EAUDG,17000,,Grey,,,"6,5",0,0,0,Fully Automatic,2,0,Yes,,,1000,0,0,Top
95,Videocon,VS72H13 Gracia Exe,9800,,Dark maroon,Yes,,"7,2",96,78,0,semi automatic,1,0,No,,,800,0,0,Top
96,Videocon,VS60A11 Storm,8150,,Dark Grey,Yes,,6,89,78,0,semi automatic,1,0,No,,,740,0,0,Top
97,Haier,XPB62-187Q,7999,19,Aqua Blue,,,"6,2",44,75,19,semi automatic,1,4,No,53,70,1000,0,0,Top
98,IFB,TL80SDG,30990,44,Sparkling Silver,,,8,104,63,44,Fully Automatic,2,0,Yes,,,720,0,133,Top
99,Samsung,WA70H4000HP/TL,23600,,Scarlet Red,,,7,"105,7","58,2",37,Fully Automatic,1,0,Yes,,,800,0,0,Top
100,Panasonic,NA-F65B5HRB,17840,30,Grey,,,"6,5","92,9","52,5",0,Fully Automatic,2,10,No,,,720,0,0,Top
101,LG,F10B8EDP2,40690,,White,,,"7,5",85,60,0,Fully Automatic,2,0,Yes,,,1000,0,0,Front
102,IFB,TLSDG,26990,54,Graphite Grey,,,"9,5",111,68,54,Fully Automatic,2,0,Yes,,,720,0,148,Top
103,Siemens,WM12K268IN,32999,,Silver,,,7,0,0,0,Fully Automatic,2,0,No,,,1200,0,0,Front
104,Onida,WO70TSPLST1,17499,,Grey,,,7,0,0,0,Fully Automatic,2,0,No,,,780,0,0,Top
105,Whirlpool,Ace 8.0 Turbodry,12599,30,Blue ,No,,8,0,0,0,semi automatic,2,0,No,,,1450,0,0,Top
106,Bosch,WAX 16161IN,29999,,White,,,6,85,60,0,Fully Automatic,2,0,Yes,,,800,0,55,Front
107,Samsung,WA62H4200HY/TL,18790,37,Light Grey ,,,"6,2","103,7","58,2",37,Fully Automatic,2,0,Yes,,,800,0,0,Top
108,Whirlpool,6512SD Whitemagic,17960,,Wine Chrome,,,"6,5",0,0,0,Fully Automatic,2,10,Yes,,,740,0,0,Top
109,Midea,MWMFL060CPR,20990,,White,,,6,85,"59,5",0,Fully Automatic,5,0,Yes,59,74,1000,0,0,Front
110,Samsung,WA65K4000HD/TL,21390,31,Sparkling Edged Brown and Imperial Silver,,,"6,5","98,2",54,0,Fully Automatic,3,10,Yes,,,0,0,0,Top
111,Siemens,WM10K160IN,33500,71,White,,,7,85,60,0,Fully Automatic,2,0,No,54,74,1000,0,0,Front
112,Whirlpool,Stainwash Deep Clean 80,26050,,Graphite,,,8,0,0,0,Fully Automatic,1,9,No,,,740,0,0,Top
113,Whirlpool,Ace 8.2 Stainfree,13100,30,Flora Red,Yes,,"8,2","50,7","95,6",0,semi automatic,2,0,No,,,1400,0,0,Top
114,LG,F1496TDP23,37200,75,White,,,8,85,60,0,Fully Automatic,2,0,Yes,,,1400,0,0,Front
115,Whirlpool,622SD Whitemagic Premier,17800,,Wine Chrome,,,"6,2",0,0,0,Fully Automatic,2,10,No,,,740,0,0,Top
116,Whirlpool,Superb Atom 65S,9900,,Ruby,No,,"6,5","90,5","79,3",0,semi automatic,2,2,No,,,600,0,0,Top
117,LONIK,LTPL4060,4798,,Red & Black ,,,"4,6",66,45,9,semi automatic,1,0,No,,,1400,0,0,Top
118,Bosch,WAX20168IN,32200,,Silver,,,6,0,0,0,fully Automatic,2,0,No,55,67,1000,0,55,Front
119,Lloyd,LWMF70,23990,,White,,,7,"88,5",65,0,fully Automatic,1,0,No,65,76,1000,0,7,Front
120,Samsung,WF600B0BTWQ/TL,25490,54,White,,,6,85,60,0,fully Automatic,2,10,No,,,1000,0,0,Front
121,IFB,Elite Plus VX,33089,77,White,,,"7,5",88,"67,5",77,fully Automatic,4,0,No,,,1200,0,52,Front
122,Godrej,GWS6204PPD,9410,,Wine Red,,,"6,2","90,5",76,0,semi automatic,2,0,No,,,0,0,0,Top
123,Samsung,WA62K4200HB/TL,18290,31, Sparkling Caribbean Blue and light grey,,,"6,2","98,2",54,0,Fully Automatic,3,10,Yes,,,0,0,0,Top
124,Samsung,WF652U2BHWQ/TL,33150,,White,,,"6,5",0,0,0,Fully Automatic,2,0,No,,,1200,0,0,Front
125,Onida,WO62TSPLDD1LR,13899,,Lava Red,,,"6,2",0,0,0,Fully Automatic,0,0,Yes,,,780,0,0,Top
126,Haier,HW60-1279,22649,,White,,,6,0,0,0,Fully Automatic,2,0,No,,,1200,0,0,Front
127,Samsung,WF600B0BHWQ,27000,54,White,,,6,85,60,0,Fully Automatic,2,0,No,,,1000,0,0,Front
128,Samsung,WF602B2BHSD/TL,30500,,White,,,6,0,0,0,Fully Automatic,10,0,No,,,1200,0,0,Front
129,Bosch,WAT24168IN,42077,,Silver,,,8,"84,8","63,2",77,Fully Automatic,2,10,No,,,1200,0,60,Front
130,Samsung,WT62H2200HV/TL,8585,,White,,,"6,2",0,0,0,semi automatic,0,0,No,,,740,0,0,Top
131,Panasonic,NA-F70H6FRB,24899,31,Flower Pattern,,,7,"96,9","52,5",35,Fully Automatic,1,0,Yes,,,0,0,0,Top
132,Samsung,WT727QPNDMW,12600,29,Grey & Red,Yes,,"7,2",0,0,0,semi automatic,2,0,No,,,0,0,0,Top
133,Haier,HWM60-918NZP,14999,,White,,,6,0,0,0,Fully Automatic,2,0,No,,,1200,0,0,Top
134,Videocon,VT70G12,15595,,Dark maroon,,,7,0,0,0,Fully Automatic,0,0,Yes,,,740,0,0,Top
135,Videocon,WM VS75Z13-DMA,10049,,Dark maroon,,,"7,5",0,0,0,semi automatic,1,0,No,,,740,0,0,Top
136,Haier,HWM 60-10,13399,30,White,,,6,"88,2",50,30,Fully Automatic,1,3,No,53,53,1000,0,439,Top
137,LG,P8837R3SM,13950,,Dark Blue,Yes,,"7,8","97,5","80,5",0,semi automatic,2,0,No,,,740,0,0,Top
138,LG,T7567TEELK,23090,,Black Knight,,,"6,5",0,0,0,Fully Automatic,2,0,Yes,,,0,0,0,Top
139,IFB,Serena VX,29500,71,White,,,7,"87,5","59,8",0,Fully Automatic,4,0,No,,,1000,0,80,Front
140,Videocon,VS60A12,8100,,Dark maroon,,,6,89,78,0,semi automatic,2,0,No,,,0,0,0,Top
141,Samsung,WF602U0BHSD/TL,32540,,Silver,,,6,89,"66,2",60,Fully Automatic,0,10,Yes,,,1000,0,0,Front
142,Whirlpool,Ace 8.5 Turbodry,13305,,Coral Red,Yes,,"8,5",0,0,0,semi automatic,2,0,No,,,1450,0,0,Top
143,Haier,XPB76-113S,10400,,Pink & White,,,"7,6",0,0,0,semi automatic,5,0,No,,,740,0,0,Top
144,LG,T8067TEELK,23500,,Black Knight,,,7,89,54,0,Fully Automatic,2,10,Yes,,,710,0,0,Top
145,Videocon,WM VS85P18-RPK,11800,,Royal Purple,,,"8,5",0,0,0,semi automatic,0,0,No,,,0,0,0,Top
146,Samsung,WA90J5730SS/TL,32500,,Silver,,,9,0,0,0,Fully Automatic,2,10,No,,,700,0,0,Top
147,Samsung,WT1007AG,13648,,Light Grey ,,,8,102,82,0,semi automatic,2,0,No,,,0,0,0,Top
148,Kelvinator,KS7052DM-FAU,8399,,Maroon,Yes,,7,0,0,0,semi automatic,2,2,No,,,700,0,0,Top
149,IFB,Eva Aqua VX,22789,66,White,,,"5,5","87,5","59,8",69,Fully Automatic,4,0,Yes,,,800,0,45,Front
150,Videocon,VT62G13 Digi Pearl Dlx,14105,,Glossy White,,,"6,2","93,5",56,0,Fully Automatic,0,0,Yes,,,800,0,0,Top
151,Samsung,WA62K4200HY/TL,18740,31,Sparkling Gray and Light Grey,,,"6,2","98,2",54,0,Fully Automatic,3,10,Yes,,,0,0,0,Top
152,Videocon,WM VT70G12-GWA,16500,,Dark maroon,,,7,0,0,0,Fully Automatic,0,0,Yes,,,0,0,0,Top
153,Videocon,VS76P13,12990,,Dark Grey,,,"7,6",0,0,0,semi automatic,1,0,No,,,0,0,0,Top
154,Samsung,WA62H4000HD/TL,19790,37,Light Grey ,,,"6,2","103,7","58,2",37,Fully Automatic,2,0,Yes,,,680,0,0,Top
155,Videocon,VS80P15,10600,,Royal Purple,,,8,0,0,0,semi automatic,1,0,No,,,800,0,0,Top
156,Samsung,WA62H3H3QRB/TL,14850,,Grey,,,"6,2",0,0,0,Fully Automatic,0,0,No,,,680,0,0,Top
157,LG,P8540R3FM(DB),13200,,Dark Blue,Yes,,"7,5","97,5","80,5",0,semi automatic,2,0,No,,,740,0,0,Top
158,IFB,Senorita Plus VX,33000,71,White,,,"6,5",88,"67,5",71,Fully Automatic,4,0,No,,,1000,0,43,Front
159,Samsung,WA65H3H5QRP,16494,,Silver Body and Wine Top,,,"6,5",0,0,0,Fully Automatic,0,0,No,,,680,0,0,Top
160,Samsung,WA70K4400HA,24890,37,Inox,,,7,"105,7","58,2",37,Fully Automatic,3,10,Yes,,,0,0,0,Top
161,Samsung,WA62K4000HD/TL,20140,31,Sparkling Edged Brown,,,"6,2","98,2",54,31,Fully Automatic,3,10,Yes,,,0,0,0,Top
162,LG,T8077TEELK,26400,,Black Knight,,,7,0,0,0,Fully Automatic,0,0,No,,,0,0,0,Top
163,LG,F8091NDL2,25900,,White,,,6,0,0,0,Fully Automatic,2,10,No,,,800,0,0,Front
164,Whirlpool,Ace 6.5 Supreme Plus,10809,,Corel Red,,,"6,5",0,0,0,semi automatic,2,0,No,,,1400,0,0,Top
165,IFB,TL75RCH,24000,45,Champagne Gold,,,"7,5",104,63,0,Fully Automatic,2,0,No,,,720,0,116,Top
166,Godrej,GWS 8002 PPC,13121,,Dew Red,Yes,,8,"103,6",83,0,semi automatic,2,5,No,,,650,0,0,Top
167,Kelvinator,KT6521PF-FAU,13499,,Pink Fusion,,,"6,5",0,0,0,Fully Automatic,2,2,No,,,850,0,0,Top
168,IFB,Senator Smart,48980,,White,,,7,0,0,0,Fully Automatic,4,0,No,,,1200,0,52,Front
169,LG,F10B8NDL2,35290,,Blue White,,,6,0,0,0,Fully Automatic,2,0,No,,,1000,0,0,Front
170,Godrej,GWS 7502 PPI,13500,26,Red,Yes,,"7,5",95,"82,3",0,semi automatic,2,5,No,,,740,0,0,Top
171,Godrej,WT EON 651 PFD,22700,,Metallic Red,,,"6,5","95,5","54,5",0,Fully Automatic,2,0,No,,,650,0,0,Top
172,LG,T7208TDDLH,17300,,Middle Free Silver,No,,"6,2",0,0,0,Fully Automatic,2,8,No,,,710,0,0,Top
173,IFB,TLSDG,26990,54,Graphite Grey,,,"9,5",111,68,54,Fully Automatic,2,0,Yes,,,720,0,148,Top
174,Panasonic,NA-W68B2HRB,10890,,Grey,,,"6,8",0,0,0,semi automatic,2,0,No,,,0,0,0,Top
175,Godrej,WT 620 CFS,13351,,Graphite Grey,,,"6,2",0,0,0,Fully Automatic,0,0,No,,,0,0,0,Top
176,Videocon,VT70G12,15595,,Dark maroon,,,7,0,0,0,Fully Automatic,0,0,Yes,,,740,0,0,Top
177,Onida,WO62TSPLDD1LR,13899,,Lava Red,,,"6,2",0,0,0,Fully Automatic,0,0,Yes,,,780,0,0,Top
